layer_idx,step_idx,head_idx,plane_idx,reads_count
3,0,2,7,12
3,0,2,8,13
3,0,2,9,12
3,0,2,10,13
3,0,2,11,13
3,0,2,12,13
3,0,2,13,14
3,0,2,14,11
3,0,2,15,8
3,0,2,16,11
3,0,2,17,13
3,0,2,18,13
3,0,2,19,13
3,0,2,20,9
3,0,2,21,6
3,0,2,22,8
3,0,2,23,11
3,0,2,24,10
3,0,2,25,11
3,0,2,26,17
3,0,2,27,16
3,0,2,28,13
3,0,2,29,14
3,0,2,30,9
3,0,2,31,9
3,0,3,0,12
3,0,3,1,12
3,0,3,2,13
3,0,3,3,12
3,0,3,4,9
3,0,3,5,12
3,0,3,6,12
3,0,3,7,10
3,0,3,8,14
3,0,3,9,12
3,0,3,10,11
3,0,3,11,12
3,0,3,12,15
3,0,3,13,13
3,0,3,14,15
3,0,3,15,13
3,0,3,16,12
3,0,3,17,14
3,0,3,18,12
3,0,3,19,14
3,0,3,20,12
3,0,3,21,11
3,0,3,22,11
3,0,3,23,12
3,0,3,24,11
3,0,3,25,10
3,0,3,26,9
3,0,3,27,9
3,0,3,28,9
3,0,3,29,10
3,0,3,30,11
3,0,3,31,11
3,0,4,0,13
3,0,4,1,10
3,0,4,2,7
3,0,4,3,11
3,0,4,4,17
3,0,4,5,15
3,0,4,6,13
3,0,4,7,14
3,0,4,8,16
3,0,4,9,13
3,0,4,10,11
3,0,4,11,10
3,0,4,12,13
3,0,4,13,6
3,0,4,14,11
3,0,4,15,14
3,0,4,16,14
3,0,4,17,12
3,0,4,18,16
3,0,4,19,16
3,0,4,20,12
3,0,4,21,11
3,0,4,22,12
3,0,4,23,13
3,0,4,24,9
3,0,4,25,12
3,0,4,26,14
3,0,4,27,13
3,0,4,28,14
3,0,4,29,11
3,0,4,30,12
3,0,4,31,14
3,0,5,0,14
3,0,5,1,13
3,0,5,2,15
3,0,5,3,16
3,0,5,4,13
3,0,5,5,11
3,0,5,6,10
3,0,5,7,11
3,0,5,8,14
3,0,5,9,9
3,0,5,10,12
3,0,5,11,13
3,0,5,12,10
3,0,5,13,11
3,0,5,14,15
3,0,5,15,14
3,0,5,16,9
3,0,5,17,10
3,0,5,18,16
3,0,5,19,15
3,0,5,20,11
3,0,5,21,11
3,0,5,22,10
3,0,5,23,11
3,0,5,24,13
3,0,5,25,13
3,0,5,26,10
3,0,5,27,13
3,0,5,28,11
3,0,5,29,11
3,0,5,30,12
3,0,5,31,9
3,0,6,0,14
3,0,6,1,13
3,0,6,2,12
3,0,6,3,10
3,0,6,4,8
3,0,6,5,10
3,0,6,6,9
3,0,6,7,9
3,0,6,8,9
3,0,6,9,11
3,0,6,10,9
3,0,6,11,9
3,0,6,12,11
3,0,6,13,13
3,0,6,14,13
3,0,6,15,15
3,0,6,16,11
3,0,6,17,10
